Computation Time,Communication Time,Threads,Size,Array Type
0.04,0.11,1,512,reverse
0.04,0.11,2,512,reverse
0.04,0.11,4,512,reverse
0.05,0.1,8,512,reverse
0.03,0.11,16,512,reverse
0.04,0.11,32,512,reverse
0.04,0.11,64,512,reverse
0.04,0.11,128,512,reverse
0.04,0.1,256,512,reverse
0.04,0.11,512,512,reverse
0.12,0.11,1,1024,reverse
0.1,0.11,2,1024,reverse
0.09,0.1,4,1024,reverse
0.09,0.11,8,1024,reverse
0.07,0.11,16,1024,reverse
0.09,0.1,32,1024,reverse
0.07,0.11,64,1024,reverse
0.08,0.1,128,1024,reverse
0.08,0.1,256,1024,reverse
0.08,0.1,512,1024,reverse
0.27,0.09,1,2048,reverse
0.26,0.1,2,2048,reverse
0.25,0.11,4,2048,reverse
0.25,0.11,8,2048,reverse
0.26,0.11,16,2048,reverse
0.26,0.1,32,2048,reverse
0.26,0.1,64,2048,reverse
0.25,0.11,128,2048,reverse
0.26,0.11,256,2048,reverse
0.25,0.1,512,2048,reverse
0.93,0.1,1,4096,reverse
0.94,0.1,2,4096,reverse
0.92,0.11,4,4096,reverse
0.94,0.11,8,4096,reverse
0.93,0.11,16,4096,reverse
0.94,0.11,32,4096,reverse
0.93,0.11,64,4096,reverse
0.93,0.11,128,4096,reverse
0.93,0.11,256,4096,reverse
0.93,0.11,512,4096,reverse
3.59,0.1,1,8192,reverse
3.59,0.1,2,8192,reverse
3.58,0.11,4,8192,reverse
3.59,0.1,8,8192,reverse
3.58,0.11,16,8192,reverse
3.59,0.11,32,8192,reverse
3.59,0.1,64,8192,reverse
3.58,0.11,128,8192,reverse
3.58,0.1,256,8192,reverse
3.59,0.1,512,8192,reverse
14.34,0.11,1,16384,reverse
14,0.1,2,16384,reverse
14.04,0.1,4,16384,reverse
14.02,0.09,8,16384,reverse
14.03,0.11,16,16384,reverse
14.03,0.11,32,16384,reverse
14.05,0.11,64,16384,reverse
14.03,0.11,128,16384,reverse
14.04,0.11,256,16384,reverse
14.03,0.1,512,16384,reverse
56.91,0.11,1,32768,reverse
56.13,0.09,2,32768,reverse
55.37,0.11,4,32768,reverse
55.55,0.1,8,32768,reverse
55.53,0.11,16,32768,reverse
55.44,0.11,32,32768,reverse
55.46,0.1,64,32768,reverse
55.49,0.09,128,32768,reverse
55.46,0.1,256,32768,reverse
55.45,0.1,512,32768,reverse
225.17,0.11,1,65536,reverse
223.85,0.11,2,65536,reverse
222.03,0.11,4,65536,reverse
220.96,0.11,8,65536,reverse
220.13,0.12,16,65536,reverse
219.51,0.09,32,65536,reverse
219.84,0.09,64,65536,reverse
219.5,0.1,128,65536,reverse
219.78,0.11,256,65536,reverse
220.02,0.11,512,65536,reverse
891.74,0.11,1,131072,reverse
883.85,0.1,2,131072,reverse
883.04,0.1,4,131072,reverse
891,0.11,8,131072,reverse
877.02,0.1,16,131072,reverse
878.46,0.14,32,131072,reverse
876.01,0.11,64,131072,reverse
875.82,0.11,128,131072,reverse
875.88,0.11,256,131072,reverse
881.56,0.12,512,131072,reverse
0,0.1,1,512,random
0,0.1,2,512,random
0,0.1,4,512,random
0,0.11,8,512,random
0.01,0.1,16,512,random
0,0.1,32,512,random
0.01,0.1,64,512,random
0,0.11,128,512,random
0.01,0.1,256,512,random
0,0.1,512,512,random
0,0.1,1,1024,random
0,0.1,2,1024,random
0.01,0.09,4,1024,random
0,0.1,8,1024,random
0.01,0.1,16,1024,random
0,0.1,32,1024,random
0,0.1,64,1024,random
0,0.1,128,1024,random
0,0.1,256,1024,random
0,0.09,512,1024,random
0,0.1,1,2048,random
0,0.1,2,2048,random
0,0.09,4,2048,random
0.01,0.09,8,2048,random
0,0.1,16,2048,random
0.01,0.09,32,2048,random
0.01,0.09,64,2048,random
0,0.1,128,2048,random
0.01,0.09,256,2048,random
0,0.1,512,2048,random
0,0.1,1,4096,random
0,0.1,2,4096,random
0,0.09,4,4096,random
0.01,0.1,8,4096,random
0.01,0.09,16,4096,random
0,0.1,32,4096,random
0.01,0.09,64,4096,random
0.01,0.09,128,4096,random
0,0.1,256,4096,random
0.01,0.09,512,4096,random
0.01,0.1,1,8192,random
0.01,0.1,2,8192,random
0,0.11,4,8192,random
0,0.1,8,8192,random
0,0.1,16,8192,random
0,0.1,32,8192,random
0.01,0.09,64,8192,random
0,0.11,128,8192,random
0,0.11,256,8192,random
0.01,0.1,512,8192,random
0.01,0.1,1,16384,random
0.03,0.1,2,16384,random
0.01,0.1,4,16384,random
0.02,0.1,8,16384,random
0.01,0.1,16,16384,random
0.01,0.1,32,16384,random
0.02,0.1,64,16384,random
0.02,0.09,128,16384,random
0.02,0.1,256,16384,random
0.02,0.09,512,16384,random
0.02,0.11,1,32768,random
0.03,0.1,2,32768,random
0.02,0.1,4,32768,random
0.04,0.09,8,32768,random
0.02,0.1,16,32768,random
0.03,0.09,32,32768,random
0.02,0.09,64,32768,random
0.02,0.1,128,32768,random
0.03,0.1,256,32768,random
0.03,0.1,512,32768,random
0.05,0.1,1,65536,random
0.05,0.11,2,65536,random
0.06,0.09,4,65536,random
0.06,0.1,8,65536,random
0.05,0.11,16,65536,random
0.04,0.11,32,65536,random
0.04,0.1,64,65536,random
0.04,0.1,128,65536,random
0.05,0.09,256,65536,random
0.04,0.1,512,65536,random
0.1,0.09,1,131072,random
0.1,0.1,2,131072,random
0.08,0.1,4,131072,random
0.08,0.1,8,131072,random
0.06,0.1,16,131072,random
0.08,0.1,32,131072,random
0.08,0.09,64,131072,random
0.07,0.1,128,131072,random
0.07,0.09,256,131072,random
0.07,0.09,512,131072,random
0.03,0.09,1,512,sorted
0.03,0.08,2,512,sorted
0.02,0.1,4,512,sorted
0.03,0.09,8,512,sorted
0.02,0.1,16,512,sorted
0.03,0.08,32,512,sorted
0.03,0.09,64,512,sorted
0.02,0.1,128,512,sorted
0.02,0.09,256,512,sorted
0.03,0.09,512,512,sorted
0.07,0.1,1,1024,sorted
0.08,0.1,2,1024,sorted
0.09,0.09,4,1024,sorted
0.08,0.09,8,1024,sorted
0.08,0.09,16,1024,sorted
0.07,0.1,32,1024,sorted
0.07,0.1,64,1024,sorted
0.08,0.1,128,1024,sorted
0.08,0.09,256,1024,sorted
0.07,0.1,512,1024,sorted
0.27,0.1,1,2048,sorted
0.26,0.09,2,2048,sorted
0.26,0.09,4,2048,sorted
0.27,0.08,8,2048,sorted
0.26,0.09,16,2048,sorted
0.24,0.1,32,2048,sorted
0.25,0.1,64,2048,sorted
0.26,0.09,128,2048,sorted
0.26,0.09,256,2048,sorted
0.26,0.09,512,2048,sorted
0.93,0.1,1,4096,sorted
0.92,0.11,2,4096,sorted
0.94,0.09,4,4096,sorted
0.94,0.1,8,4096,sorted
0.93,0.1,16,4096,sorted
0.94,0.11,32,4096,sorted
0.93,0.1,64,4096,sorted
0.94,0.09,128,4096,sorted
0.94,0.1,256,4096,sorted
0.93,0.1,512,4096,sorted
3.58,0.09,1,8192,sorted
3.58,0.1,2,8192,sorted
3.58,0.09,4,8192,sorted
3.59,0.1,8,8192,sorted
3.61,0.1,16,8192,sorted
3.62,0.11,32,8192,sorted
3.62,0.11,64,8192,sorted
3.63,0.12,128,8192,sorted
3.62,0.1,256,8192,sorted
3.62,0.1,512,8192,sorted
14.37,0.11,1,16384,sorted
14.13,0.11,2,16384,sorted
13.95,0.11,4,16384,sorted
13.98,0.1,8,16384,sorted
13.98,0.11,16,16384,sorted
13.99,0.1,32,16384,sorted
13.98,0.1,64,16384,sorted
13.98,0.1,128,16384,sorted
13.96,0.1,256,16384,sorted
13.97,0.11,512,16384,sorted
56.47,0.11,1,32768,sorted
55.8,0.11,2,32768,sorted
55.2,0.11,4,32768,sorted
55.22,0.11,8,32768,sorted
55.18,0.1,16,32768,sorted
55.16,0.09,32,32768,sorted
55.21,0.1,64,32768,sorted
55.15,0.09,128,32768,sorted
55.28,0.1,256,32768,sorted
55.12,0.11,512,32768,sorted
223.79,0.1,1,65536,sorted
222.58,0.09,2,65536,sorted
220.47,0.1,4,65536,sorted
219.71,0.1,8,65536,sorted
219.45,0.09,16,65536,sorted
220.06,0.09,32,65536,sorted
219.78,0.1,64,65536,sorted
219.8,0.1,128,65536,sorted
219.71,0.11,256,65536,sorted
220.08,0.11,512,65536,sorted
892.36,0.11,1,131072,sorted
885.13,0.11,2,131072,sorted
883.89,0.1,4,131072,sorted
883.19,0.11,8,131072,sorted
880.65,0.11,16,131072,sorted
877.89,0.1,32,131072,sorted
880.26,0.1,64,131072,sorted
878.64,0.11,128,131072,sorted
882.23,0.11,256,131072,sorted
880.69,0.11,512,131072,sorted
