Computation Time,Communication Time,Threads,Size,Array Type
0.000023,0,1,512,reverse
0.000025,0.000222,2,512,reverse
0.000027,0.000094,4,512,reverse
0.000034,0.00073,8,512,reverse
0.000042,0.00614,16,512,reverse
0.000057,0.002585,32,512,reverse
0.00007,0.0021,64,512,reverse
0.00014,0.0808,128,512,reverse
0.000253,0.166328,256,512,reverse
0.000533,0.329904,512,512,reverse
0.000051,0,1,1024,reverse
0.000054,0.000078,2,1024,reverse
0.000053,0.00799,4,1024,reverse
0.00006,0.004966,8,1024,reverse
0.000071,0.000364,16,1024,reverse
0.000091,0.003625,32,1024,reverse
0.000111,0.003643,64,1024,reverse
0.00018,0.093346,128,1024,reverse
0.000308,0.155532,256,1024,reverse
0.000654,0.346327,512,1024,reverse
0.000123,0,1,2048,reverse
0.000123,0.000197,2,2048,reverse
0.000107,0.000103,4,2048,reverse
0.000116,0.000231,8,2048,reverse
0.000126,0.000355,16,2048,reverse
0.000148,0.001948,32,2048,reverse
0.000198,0.006147,64,2048,reverse
0.00029,0.087305,128,2048,reverse
0.000426,0.159625,256,2048,reverse
0.000699,0.279532,512,2048,reverse
0.000296,0,1,4096,reverse
0.000268,0.0001,2,4096,reverse
0.000237,0.000113,4,4096,reverse
0.000247,0.000242,8,4096,reverse
0.000249,0.000382,16,4096,reverse
0.00028,0.002016,32,4096,reverse
0.000342,0.023778,64,4096,reverse
0.000438,0.120432,128,4096,reverse
0.00061,0.236413,256,4096,reverse
0.000952,0.469251,512,4096,reverse
0.000579,0,1,8192,reverse
0.000572,0.000069,2,8192,reverse
0.00052,0.000897,4,8192,reverse
0.00053,0.005473,8,8192,reverse
0.000537,0.002142,16,8192,reverse
0.000556,0.000686,32,8192,reverse
0.000635,0.031365,64,8192,reverse
0.000743,0.225052,128,8192,reverse
0.000864,0.238933,256,8192,reverse
0.001301,0.698029,512,8192,reverse
0.001123,0,1,16384,reverse
0.001127,0.000061,2,16384,reverse
0.001123,0.005804,4,16384,reverse
0.001124,0.000311,8,16384,reverse
0.001145,0.001443,16,16384,reverse
0.001168,0.002666,32,16384,reverse
0.001242,0.047389,64,16384,reverse
0.001424,0.273701,128,16384,reverse
0.001591,0.475892,256,16384,reverse
0.001914,0.658031,512,16384,reverse
0.002582,0,1,32768,reverse
0.002421,0.000359,2,32768,reverse
0.002402,0.009897,4,32768,reverse
0.002438,0.000981,8,32768,reverse
0.002469,0.001764,16,32768,reverse
0.002497,0.001694,32,32768,reverse
0.002585,0.04868,64,32768,reverse
0.002651,0.225532,128,32768,reverse
0.00294,0.564676,256,32768,reverse
0.003334,1.146604,512,32768,reverse
0.005586,0,1,65536,reverse
0.005157,0.000205,2,65536,reverse
0.005111,0.000344,4,65536,reverse
0.005156,0.001966,8,65536,reverse
0.005146,0.005554,16,65536,reverse
0.005205,0.005962,32,65536,reverse
0.005426,0.049714,64,65536,reverse
0.031643,0.205651,128,65536,reverse
0.005518,0.518184,256,65536,reverse
0.006593,1.689714,512,65536,reverse
0.012026,0,1,131072,reverse
0.011028,0.000172,2,131072,reverse
0.010916,0.001153,4,131072,reverse
0.010874,0.008347,8,131072,reverse
0.011027,0.002276,16,131072,reverse
0.011109,0.003761,32,131072,reverse
0.01129,0.048344,64,131072,reverse
0.018161,0.205059,128,131072,reverse
0.0113,0.607515,256,131072,reverse
0.011359,1.656361,512,131072,reverse
0.000053,0,1,512,random
0.000055,0.000063,2,512,random
0.000059,0.000106,4,512,random
0.000064,0.001518,8,512,random
0.000068,0.000728,16,512,random
0.000082,0.004533,32,512,random
0.000093,0.007562,64,512,random
0.00015,0.114869,128,512,random
0.001417,0.148177,256,512,random
0.00064,0.332492,512,512,random
0.000121,0,1,1024,random
0.000144,0.000084,2,1024,random
0.000123,0.014813,4,1024,random
0.000126,0.007035,8,1024,random
0.000133,0.000365,16,1024,random
0.000153,0.007163,32,1024,random
0.00016,0.01238,64,1024,random
0.000234,0.109306,128,1024,random
0.000378,0.208209,256,1024,random
0.000668,0.381823,512,1024,random
0.000296,0,1,2048,random
0.000295,0.000048,2,2048,random
0.000263,0.014405,4,2048,random
0.000263,0.000223,8,2048,random
0.000274,0.00038,16,2048,random
0.000285,0.003032,32,2048,random
0.000302,0.005719,64,2048,random
0.000401,0.076973,128,2048,random
0.000533,0.214454,256,2048,random
0.000808,0.449692,512,2048,random
0.000567,0,1,4096,random
0.00059,0.000201,2,4096,random
0.000563,0.000101,4,4096,random
0.00057,0.000246,8,4096,random
0.00058,0.001646,16,4096,random
0.000614,0.003616,32,4096,random
0.000629,0.020762,64,4096,random
0.000736,0.146185,128,4096,random
0.000877,0.365526,256,4096,random
0.001134,0.453339,512,4096,random
0.001358,0,1,8192,random
0.001308,0.000139,2,8192,random
0.001236,0.000127,4,8192,random
0.001272,0.005794,8,8192,random
0.001258,0.005229,16,8192,random
0.001264,0.007611,32,8192,random
0.001324,0.03151,64,8192,random
0.00144,0.187052,128,8192,random
0.001533,0.222994,256,8192,random
0.001944,0.712413,512,8192,random
0.002914,0,1,16384,random
0.003112,0.000223,2,16384,random
0.002717,0.000139,4,16384,random
0.002655,0.000321,8,16384,random
0.002713,0.005482,16,16384,random
0.002698,0.001038,32,16384,random
0.002735,0.04692,64,16384,random
0.010416,0.254696,128,16384,random
0.002988,0.448696,256,16384,random
0.003339,0.918548,512,16384,random
0.005524,0,1,32768,random
0.006803,0.000422,2,32768,random
0.005697,0.005234,4,32768,random
0.005677,0.000374,8,32768,random
0.005774,0.000574,16,32768,random
0.005867,0.002646,32,32768,random
0.005892,0.046919,64,32768,random
0.028167,0.263664,128,32768,random
0.006088,0.534969,256,32768,random
0.006488,1.608948,512,32768,random
0.012489,0,1,65536,random
0.014745,0.000849,2,65536,random
0.012073,0.00031,4,65536,random
0.012182,0.000565,8,65536,random
0.012144,0.000801,16,65536,random
0.012195,0.009024,32,65536,random
0.012505,0.047842,64,65536,random
0.0212,0.250139,128,65536,random
0.012285,0.46844,256,65536,random
0.012809,1.596725,512,65536,random
0.026734,0,1,131072,random
0.025383,0.000139,2,131072,random
0.026225,0.00057,4,131072,random
0.025813,0.001134,8,131072,random
0.026011,0.001375,16,131072,random
0.025724,0.005866,32,131072,random
0.026389,0.053697,64,131072,random
0.034005,0.196931,128,131072,random
0.025922,0.575843,256,131072,random
0.02592,1.615876,512,131072,random
0.000023,0,1,512,sorted
0.000025,0.000226,2,512,sorted
0.000027,0.006138,4,512,sorted
0.00004,0.001256,8,512,sorted
0.000042,0.00465,16,512,sorted
0.00006,0.006871,32,512,sorted
0.000073,0.003154,64,512,sorted
0.000124,0.07958,128,512,sorted
0.000245,0.181892,256,512,sorted
0.000574,0.32984,512,512,sorted
0.000054,0,1,1024,sorted
0.000052,0.000074,2,1024,sorted
0.000054,0.00458,4,1024,sorted
0.000063,0.000257,8,1024,sorted
0.00007,0.000354,16,1024,sorted
0.000085,0.002306,32,1024,sorted
0.000113,0.012749,64,1024,sorted
0.000196,0.09182,128,1024,sorted
0.000343,0.281404,256,1024,sorted
0.000644,0.348412,512,1024,sorted
0.000123,0,1,2048,sorted
0.000108,0.000063,2,2048,sorted
0.000107,0.000088,4,2048,sorted
0.000113,0.000156,8,2048,sorted
0.000128,0.000391,16,2048,sorted
0.000148,0.008474,32,2048,sorted
0.000183,0.009199,64,2048,sorted
0.000299,0.089317,128,2048,sorted
0.000441,0.172412,256,2048,sorted
0.000704,0.495046,512,2048,sorted
0.000238,0,1,4096,sorted
0.000255,0.000222,2,4096,sorted
0.000239,0.009648,4,4096,sorted
0.000242,0.000169,8,4096,sorted
0.000251,0.003628,16,4096,sorted
0.000282,0.00218,32,4096,sorted
0.00037,0.02618,64,4096,sorted
0.000427,0.099534,128,4096,sorted
0.000614,0.187503,256,4096,sorted
0.000943,0.288758,512,4096,sorted
0.00053,0,1,8192,sorted
0.000611,0.000044,2,8192,sorted
0.000522,0.007238,4,8192,sorted
0.000529,0.00553,8,8192,sorted
0.000529,0.000611,16,8192,sorted
0.000546,0.00504,32,8192,sorted
0.00062,0.030501,64,8192,sorted
0.000713,0.234413,128,8192,sorted
0.000827,0.21065,256,8192,sorted
0.001301,0.43534,512,8192,sorted
0.00112,0,1,16384,sorted
0.001172,0.0001,2,16384,sorted
0.001121,0.00785,4,16384,sorted
0.001218,0.000395,8,16384,sorted
0.001143,0.0017,16,16384,sorted
0.00121,0.004136,32,16384,sorted
0.001224,0.046387,64,16384,sorted
0.001397,0.229537,128,16384,sorted
0.015948,0.447831,256,16384,sorted
0.001914,0.441502,512,16384,sorted
0.002435,0,1,32768,sorted
0.002543,0.00008,2,32768,sorted
0.002404,0.002662,4,32768,sorted
0.002413,0.005379,8,32768,sorted
0.002426,0.004134,16,32768,sorted
0.002458,0.00086,32,32768,sorted
0.002553,0.046483,64,32768,sorted
0.002716,0.233383,128,32768,sorted
0.002934,0.623047,256,32768,sorted
0.003316,1.309089,512,32768,sorted
0.00537,0,1,65536,sorted
0.005179,0.000651,2,65536,sorted
0.005121,0.002766,4,65536,sorted
0.005163,0.000588,8,65536,sorted
0.005141,0.005354,16,65536,sorted
0.005192,0.001518,32,65536,sorted
0.005369,0.047637,64,65536,sorted
0.005463,0.199504,128,65536,sorted
0.005503,0.578867,256,65536,sorted
0.006111,1.608838,512,65536,sorted
0.011426,0,1,131072,sorted
0.011024,0.000128,2,131072,sorted
0.0109,0.000596,4,131072,sorted
0.010873,0.000862,8,131072,sorted
0.010938,0.001097,16,131072,sorted
0.011115,0.005992,32,131072,sorted
0.011275,0.048118,64,131072,sorted
0.011436,0.245911,128,131072,sorted
0.011152,0.502424,256,131072,sorted
0.0114,1.709735,512,131072,sorted
